,Original Data,Predictions
2020-03-01,0.4,-0.30360000000000015
2020-04-01,0.19,-0.3196
2020-05-01,-0.08,-0.36319999999999975
2020-06-01,-0.3,-0.2883
2020-07-01,-0.41,-0.32319999999999993
2020-08-01,-0.57,-0.15610000000000002
2020-09-01,-0.89,0.02749999999999998
2020-10-01,-1.17,0.17100000000000004
2020-11-01,-1.27,-0.18219999999999983
2020-12-01,-1.19,-0.37139999999999973
2021-01-01,-1.05,-0.5103000000000002
2021-02-01,-0.93,-0.4476000000000001
2021-03-01,-0.84,0.1681
2021-04-01,-0.66,-0.20140000000000008
2021-05-01,-0.48,-0.3803
2021-06-01,-0.38,-0.13049999999999998
2021-07-01,-0.4,0.06050000000000003
2021-08-01,-0.49,-0.1738000000000001
2021-09-01,-0.67,-0.2687999999999999
2021-10-01,-0.81,-1.047499999999999
2021-11-01,-0.98,-0.1285
2021-12-01,-0.98,-0.6154999999999997
2022-01-01,-0.97,-0.15419999999999995
2022-02-01,-0.93,-0.21909999999999993
2022-03-01,-0.99,-0.1671999999999999
2022-04-01,-1.06,0.45159999999999983
2022-05-01,-0.99,-0.5002
2022-06-01,-0.85,0.35459999999999986
2022-07-01,-0.81,0.6346000000000004
2022-08-01,-0.91,-0.5639999999999997
2022-09-01,-1.01,1.1701000000000001
2022-10-01,-0.99,0.39329999999999954
2022-11-01,-0.92,0.1815
2022-12-01,-0.82,-0.15269999999999995
2023-01-01,-0.67,-0.17369999999999997
2023-02-01,-0.43,-0.05109999999999996
2023-03-01,-0.14,0.14460000000000006
